Mods count: 104
 
                                jar name                                  |    notes     |            mod id            |                 mod name                 |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
oculus-mc1.20.1-1.8.0.jar                                                 |              | oculus                       | Oculus                                   | 1.8.0                        | mixins.oculus.compat.sodium.json, sodiumCompatibility-oculus-mixins-refmap.json, mixins.oculus.integrationtest.json, mixins.oculus.compat.dh.json, mixins.oculus.vertexformat.json, mixins.oculus.fixes.maxfpscrash.json, oculus-batched-entity-rendering.mixins.json, mixins.oculus.compat.indium.json, mixins.oculus.json, oculus-mixins-refmap.json, mixins.oculus.compat.indigo.json, mixins.oculus.bettermipmaps.json, mixins.oculus.compat.pixelmon.json, mixins.oculus.fantastic.json                                                                                                                                                                              | 984f774e71790deaec674c7587bd24e0711871b2 | 516527841      
    /META-INF/jars/jcpp-1.4.14.jar                                        |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
opacgui-1.0.jar                                                           |              | opacgui                      | Opac Better GUI                          | 1.0                          | opacgui.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 311653ce27e4f4596f99915992e2b5a97f338327 | 1097458624     
open-parties-and-claims-forge-1.20.1-0.26.3.jar                           |              | openpartiesandclaims         | Open Parties and Claims                  | 0.26.3                       | openpartiesandclaims.create.forge.mixins.json, openpartiesandclaims.mixins.json, openpartiesandclaims.forge.mixins.json, openpartiesandclaims.create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 635ce708a99962eb56160826de2dad2598b145b2 | 694997629      
Patchouli-1.20.1-85-FORGE.jar                                             |              | patchouli                    | Patchouli                                | 1.20.1-85-FORGE              | patchouli_xplat.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | d4614507d6e4c7cb464bba5eca891978272062ef | 1383309397     
polymorph-forge-0.49.10+1.20.1.jar                                        |              | polymorph                    | Polymorph                                | 0.49.10+1.20.1               | polymorph.mixins.json, polymorph-integrations.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | e4afd6f512cc06311320357ed974cee586e031c3 | 3179981898     
    /META-INF/jarjar/spectrelib-forge-0.13.17+1.20.1.jar                  |              | spectrelib                   | SpectreLib                               | 0.13.17+1.20.1               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
ProbeJSLegacy-1.20.1-6.2.0.jar                                            |              | probejs_legacy               | ProbeJSLegacy                            | 6.2.0                        | probejs_legacy.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | ff40ed23cdf79a67ad8860cd9223d1a75704784a | 2196973683     
raided-1.1.4-1.20.1.jar                                                   |              | raided                       | Raided                                   | 1.1.4                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 76d7c4911156ae42df10e24ae7c87db1ba9abfe7 | 818753328      
rhino-forge-2001.2.3-build.10.jar                                         |              | rhino                        | Rhino                                    | 2001.2.3-build.10            | rhino-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | c83c9b719a6bab33fbd2b3f2f680eb3adbfc1aa1 | 1432081092     
rnr-0.2.4-1.20.1.jar                                                      |              | rnr                          | Roads and Roofs TFC                      | 0.2.4-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 23bf1d95a28ba7c2d76772268703f455bebfeeb8 | 2819776358     
Sacks 'N Such-1.20.1-1.2.8.jar                                            |              | sns                          | Sacks 'N Such                            | 1.2.8                        | sacks-n-such.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | bc42bf2706d5feb59af1e1eb6070855b2092a3bb | 1735809654     
    /META-INF/jarjar/Extended-Slot-Capacity-1.20.1-1.4.jar                |              | esc                          | Extended Slot Capacity lib               | 1.4                          | extended-slot-capacity.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
Searchables-forge-1.20.1-1.0.3.jar                                        |              | searchables                  | Searchables                              | 1.0.3                        | searchables.forge.mixins.json, searchables.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ed5a23ec30c90fd06b3f1d8140614028e1fafaee | 3171281796     
TerraFirmaCraft-Forge-1.20.1-3.2.22.jar                                   |              | tfc                          | TerraFirmaCraft                          | 3.2.22                       | tfc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | b8d549900ac215a4eb52033208be2362c9ad96d9 | 2464604592     
tfc_eratosthenes-Forge-1.20.1-0.1.1.jar                                   |              | tfc_eratosthenes             | TFC Eratosthenes                         | 0.1.1                        | tfc_eratosthenes.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 72d34fc52a96b028ed3f70d54bd4019afcb731fb | 2696824765     
tfc_items-1.20.1-forge-1.1.1.jar                                          |              | tfc_items                    | TFC More Items                           | 1.1.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 62bdce27810e818fe948fb8088531ab60c952387 | 1180143706     
tfc_support_indicator-1.0.7+mc1.20.1.jar                                  |              | tfc_support_indicator        | TFC Support Indicator                    | 1.0.7+mc1.20.1               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 254e298e27e574da9822946eb7f1362d1ef06b4d | 3088665824     
tfc_textile-1.0.5.jar                                                     |              | tfc_textile                  | TFC textile                              | 1.0.5                        | tfc_textile.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 0f68aff31c58bcfd12306218766d24022d6e78db | 2835188940     
TFCAgedAlcohol-1.20.1-2.3.jar                                             |              | tfcagedalcohol               | TFC Aged Alcohol                         | 2.3                          | tfcagedalcohol.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | e37031fe92336c8fe3b06c7b232da857f360d938 | 1683797447     
tfcambiental-1.20.1-3.5.0.jar                                             |              | tfcambiental                 | TFC Ambiental                            | 1.20.1-3.5.0                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 25634c21bb8ceff0ec53d24f38dde9c4a239c789 | 1763513816     
TFCAstikorCarts-1.20.1-1.1.9.jar                                          |              | tfcastikorcarts              | TFC Astikor Carts                        | 1.1.9                        | tfcastikorcarts.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1945f2c9ba727faa25cf8595853822312de66c9b | 1898201683     
TFCBetterBlastFurnace-1.20.1-1.0.2.jar                                    |              | tfcbetterbf                  | TFC Better Blast Furnace                 | 1.0.2                        | tfcbetterbf.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | e40bc10f114bce20b9c003a7d42a97834d5a1bcc | 122027446      
tfcchannelcasting-0.2.3-beta.jar                                          |              | tfcchannelcasting            | TFC Casting with Channels                | 0.2.3-beta                   | tfcchannelcasting.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 346a53a23f069d8f9b16f14ecef3b9ab247d0e49 | 3564038568     
tfcgenviewer-1.20.1-1.5.1.jar                                             |              | tfcgenviewer                 | TFCGenViewer                             | 1.5.1                        | tfcgenviewer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 208e780e3f9fc4cbee1de4222d72408162b44a63 | 2073154572     
TFCHotOrNot-1.20.1-1.0.13.jar                                             |              | tfchotornot                  | TFC Hot or Not                           | 1.0.13                       | tfchotornot.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 383507ce61eaa1fe9368915536de8b3685517728 | 499156272      
tfcmountains-1.0.4.jar                                                    |              | tfcmountains                 | TFC Mantle Mountains                     | 1.0.4                        | tfcmountains.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | e970012eb1eaf864cbefb8f992db61af2731243d | 2291110943     
TFCVesselTooltip-1.20.1-1.1.jar                                           |              | tfcvesseltooltip             | TFC Vessel Tooltip                       | 1.1                          | tfcvesseltooltip.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 0ba5058d7a728119121acf09e0badb3c87d2f319 | 2467902332     
TFCWeldButton-1.20.1-1.1.jar                                              |              | tfcweldbutton                | TFC Weld Button                          | 1.1                          | tfcweldbutton.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | dda1ccb3f998e85de186c84162bf437f2e800031 | 214270406      
UnionLib-1.20.1-12.0.18-Forge-all.jar                                     |              | unionlib                     | UnionLib                                 | 12.0.18                      | unionlib_potionfluid.mixins.json, unionlib.insert.mixins.json, unionlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 94b64ac752fb1ecb4c96b05532d7ddf033524748 | 3437148652     
    /META-INF/jarjar/antlr4-runtime-4.7.2.jar                             |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/jsr305-3.0.2.jar                                     |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/tomlj-1.0.0.jar                                      |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
voicechat-forge-1.20.1-2.6.18.jar                                         |              | voicechat                    | Simple Voice Chat                        | 1.20.1-2.6.18                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | d80072e188d9611f7c5afd6fabe79ed53752f80f | 2395424416     
waterflasks-3.0.10.jar                                                    |              | waterflasks                  | TFC Water Flasks                         | 3.0.10                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | d9e9fc125bd401601693de6d694bea43c3bf956e | 3195298370     
watut-forge-1.20.1-1.2.3.jar                                              |              | watut                        | What Are They Up To                      | 1.20.1-1.2.3                 | watut_fabric.mixins.json, watut.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | d376debf1f96f37dbedf56919baeb7da2dcef9ab | 3519258904     
xercapaint-1.20.1-1.1.0.jar                                               |              | xercapaint                   | Joy of Painting                          | 1.20.1-1.1.0                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 278e859d83bc44325e7ad8ac3ccbbca75e115039 | 2838492626     
