Mods count: 104
 
                                jar name                                  |    notes     |            mod id            |                 mod name                 |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
corpsecurioscompat-1.20.1-Forge-3.1.3.jar                                 |              | corpsecurioscompat           | corpsecurioscompat                       | 3.1.3                        | corpsecurioscompat.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 3b36538ca8c6cc16982788c8e058cb726357a90c | 314314029      
cosmeticarmorreworked-1.20.1-v1a.jar                                      |              | cosmeticarmorreworked        | CosmeticArmorReworked                    | 1.20.1-v1a                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | afd9fa3fe95e8c086e8d439df403ed1e5ea5cbea | 3614955629     
cosmeticcorpsecompat-1.19.x-1.20.x-Forge-1.0.0.jar                        |              | cosmeticcorpsecompat         | Cosmetic Armor x Corpse Compat           | 1.0.0                        | cosmeticcorpsecompat.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 68ea28d819d01251c38a9e36a4ce7487cf7b8723 | 3407618717     
CrashAssistant-forge-1.19-1.20.1-1.11.9.jar                               |              | crash_assistant              | Crash Assistant                          | 1.11.9                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | e94c49268c83301ee066dca9501c4b5fa902b33d | 289595968      
    /META-INF/jarjar/app.jar                                              |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/crash_assistant-forge.jar                            |              | crash_assistant              | Crash Assistant                          | 1.11.9                       | crash_assistant.mixins.json, crash_assistant-forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
cupboard-1.20.1-3.7.jar                                                   |              | cupboard                     | Cupboard utilities                       | 1.20.1-3.7                   | cupboard.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 18be26e340ca77a05ee925fdb51400138b8c6539 | 2075014231     
curios-forge-5.14.1+1.20.1.jar                                            |              | curios                       | Curios API                               | 5.14.1+1.20.1                | curios.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 452175b95ad3db6ff58bb8968f6bf7a9d1e0f480 | 1288931317     
dfc-0.8.1.jar                                                             |              | dfc                          | DecoFirmaCraft                           | 0.8.1                        | decofirmacraft.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | f91821e3c90a65535406e55e78624c4a93b489be | 2271369684     
drippyloadingscreen_forge_3.1.2_MC_1.20.1.jar                             |              | drippyloadingscreen          | Drippy Loading Screen                    | 3.1.2                        | drippyloadingscreen.forge.mixins.json, drippyloadingscreen.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 0f4fe368d76572f2af563b90fafea7d75c007d22 | 3138285533     
dusttodust-1.0.0-forge-1.20.1.jar                                         | MCreator mod | dusttodust                   | dusttodust                               | 1.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | da444092e5808c00f6872dda49ba10b52567eed7 | 2439658182     
DynamicTrees-1.20.1-1.4.10.jar                                            |              | dynamictrees                 | Dynamic Trees                            | 1.20.1-1.4.10                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 6fdd23dfdbdf0fa88c468b1cae6a2dbefa019923 | 1353798319     
DynamicTreesPlus-1.20.1-1.2.2.jar                                         |              | dynamictreesplus             | Dynamic Trees Plus                       | 1.20.1-1.2.2                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 73bc0e0f9f4b7dd5ed037bbc256626321fb9c19f | 2760117669     
DynamicTreesTFC-1.20.1-2.0.2.jar                                          |              | dttfc                        | Dynamic Trees TFC                        | 2.0.2                        | dttfc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 59c337f8a9cfdbb86b307ab677e9c2067dfb4112 | 1806011795     
embeddium-0.3.31+mc1.20.1.jar                                             |              | embeddium                    | Embeddium                                | 0.3.31+mc1.20.1              | embeddium.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | bb2fa8f3e493af16af9160d049f96c614a1faf2f | 4281946638     
